atraso,edad,dias_lab,exp_sf,nivel_ahorro,ingreso,linea_sf,deuda_sf,score,clasif_sbs,nivel_educ,vivienda_ALQUILADA,vivienda_FAMILIAR,vivienda_PROPIA
235,30,3748,93.0,5,3500.0,11987.241038228825,0.0,214,4,3,False,True,False
18,32,4598,9.0,12,900.0,1824.67,1933.75,175,1,2,False,True,False
0,26,5148,8.0,2,2400.0,2797.38,188.29,187,0,3,False,True,False
0,36,5179,20.0,12,2700.0,11987.241038228825,0.0,187,0,2,False,True,False
0,46,3960,32.40158319378901,1,3100.0,2000.0,11010.65,189,0,2,False,True,False
22,25,4874,9.0,12,2200.0,449.92,496.58,220,0,3,False,True,False
9,30,3930,12.0,8,2100.0,4827.64,850.21,193,0,3,False,True,False
8,55,4995,23.0,12,5593.21,10467.0,18620.8,199,0,2,False,False,True
2,30,5026,32.40158319378901,0,2000.0,7315.41,0.0,156,0,3,False,True,False
0,31,4964,32.40158319378901,4,3800.0,11987.241038228825,0.0,192,0,2,False,True,False
0,26,4200,8.0,12,3929.72,6000.0,502.13,186,0,2,False,True,False
0,50,4995,32.40158319378901,2,6000.0,2802.74,19020.95,177,0,2,False,True,False
1,21,4315,12.0,12,1076.94,3900.0,3796.18,175,0,2,False,True,False
0,41,3687,8.0,10,2615.68,3500.0,1825.18,199,0,2,False,False,True
0,30,3779,6.0,11,850.0,675.0,2484.67,168,0,2,False,True,False
1,52,6031,32.40158319378901,12,8000.0,2709.94,47869.37,197,0,2,False,True,False
17,28,5694,47.0,0,2800.0,7324.16,0.0,175,2,3,False,True,False
0,45,7612,32.40158319378901,4,1053.0,541.21,0.0,168,1,3,False,True,False
0,30,3899,10.0,12,1163.91,8871.27,32.05,168,0,2,False,True,False
0,54,3930,9.0,12,666.11,2673.0,4010.56,180,0,2,False,True,False
25,29,4052,11.0,9,1500.0,1500.0,423.93,177,1,2,False,True,False
2,35,3992,8.0,12,785.06,500.0,818.8,177,1,2,False,True,False
2,51,4385,12.0,12,900.0,11987.241038228825,3672.76,180,0,2,False,True,False
2,29,4904,32.40158319378901,12,905.76,350.0,1814.11,194,0,2,False,True,False
1,59,5605,9.0,12,2300.0,600.0,5195.7,230,0,2,False,False,True
2,41,4083,32.40158319378901,12,950.0,11987.241038228825,4444.3,218,0,2,False,False,True
0,22,3382,8.0,12,2100.0,900.0,3533.97,214,0,3,False,True,False
25,23,4205,7.0,12,2100.0,1200.0,1412.51,174,1,3,False,True,False
6,26,5452,32.40158319378901,12,3000.0,2779.74,1815.53,215,0,3,False,True,False
0,32,4052,32.40158319378901,12,1779.79,11987.241038228825,9389.79,173,0,2,False,True,False
0,30,5209,33.0,11,18000.0,13830.18,0.0,198,0,3,False,True,False
1,32,3626,32.40158319378901,12,940.79,1350.09,2835.34,175,0,2,False,True,False
25,26,4598,33.0,12,1434.7,6910.5,5500.23,171,1,2,False,True,False
0,29,4721,8.0,12,2600.0,1075.95,747.4,200,0,3,False,True,False
0,40,9988,32.40158319378901,0,3100.0,11987.241038228825,0.0,204,4,3,False,False,True
0,46,5564,32.40158319378901,1,900.0,4742.45,1610.13,172,1,2,False,False,True
1,38,4233,32.40158319378901,12,1097.38,1200.0,4562.13,179,1,2,False,True,False
0,26,4598,8.0,12,2300.0,6406.02,158.24,187,0,3,False,True,False
0,31,4478,8.0,12,1300.0,1850.0,1471.32,176,0,3,False,True,False
0,24,4356,10.0,12,3500.0,11987.241038228825,0.0,179,0,2,False,True,False
20,42,5301,32.40158319378901,12,2600.0,145.12,1316.08,207,2,2,False,False,True
0,29,4386,8.0,12,2100.0,863.39,89.83,200,0,3,False,True,False
1,34,3930,11.0,12,2066.59,1000.0,5356.8,196,0,2,False,True,False
0,35,4144,32.40158319378901,12,2168.83,1500.0,3874.39,213,0,2,False,False,True
23,36,4995,32.40158319378901,1,1200.0,1840.0,1218.6,165,1,3,False,True,False
9,38,5209,28.0,12,700.0,2595.06,1094.72,226,0,2,False,False,True
1,24,4052,32.40158319378901,12,1119.98,11987.241038228825,945.36,175,0,2,False,False,True
27,37,3534,32.40158319378901,12,1700.0,11987.241038228825,18711.03,194,0,2,False,False,True
0,32,5878,11.0,12,1950.0,1760.0,5.29,180,0,2,False,True,False
33,36,6243,38.0,12,900.0,2414.65,0.0,177,2,2,False,True,False
0,24,4382,32.40158319378901,12,1272.95,11987.241038228825,4103.82,194,0,2,False,False,True
0,29,5056,14.0,1,1500.0,10485.64,502.97,165,0,3,False,True,False
2,25,4935,16.0,12,1053.18,2400.0,1200.0,169,0,2,False,True,False
21,23,3960,17.0,12,2100.0,2113.17,3.96,206,1,2,False,True,False
2,23,4539,32.40158319378901,12,2300.0,1573.6,0.0,181,0,3,False,True,False
1,24,3899,20.0,12,2100.0,2080.0,2426.15,228,2,3,False,False,True
0,28,4113,6.0,12,1400.0,2500.0,1810.82,185,0,3,False,True,False
0,29,4113,15.0,12,4200.0,186.22,1075.17,200,0,3,False,True,False
0,26,3483,32.40158319378901,12,703.53,11987.241038228825,2495.79,167,0,2,False,True,False
0,24,4021,32.40158319378901,12,1200.0,11987.241038228825,3789.55,156,0,2,False,True,False
1,39,3864,32.40158319378901,12,880.0,11987.241038228825,197.03,215,0,2,False,False,True
